source_repo,results_root,benchmark,run_label,run_root,run_name,method,method_family,bits,cadence,recent_blocks,config_id,config_payload,experiment_type,quant_meta,prompt_count,video_count,generation_records,has_vram_trace,has_efficiency,has_fidelity,has_vbench,has_drift,has_summary_csv,decoded_frames,approx_duration_sec,is_ten_second,dashboard_overview_ready,dashboard_video_ready,dashboard_prompt_ready,dashboard_ready,long10_dashboard_ready,missing_requirements,psnr,ssim,lpips,background_consistency,imaging_quality,subject_consistency,aesthetic_quality,compression_ratio,total_runtime_s,peak_vram_bytes
suraj,/data/suraj/kv-quant-longhorizon/results,moviegen,runs/1773037963_newideas10s_10prompts,/data/suraj/kv-quant-longhorizon/results/runs/1773037963_newideas10s_10prompts,1773037963_newideas10s_10prompts,RTN_INT4_REFRESH,RTN,4,,,6d1d030c9066,"{""benchmark"":""moviegen"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""RTN_INT4_REFRESH"",""method_family"":""RTN"",""quant_meta"":{}}",,{},7,7,7,True,False,False,False,False,False,165,10.3125,True,False,True,True,False,False,efficiency;fidelity;vbench,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,moviegen,runs/1773038789_newideas10s_10prompts,/data/suraj/kv-quant-longhorizon/results/runs/1773038789_newideas10s_10prompts,1773038789_newideas10s_10prompts,RTN_K2_V4,RTN,,,,a5f3a9f0caab,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""RTN_K2_V4"",""method_family"":""RTN"",""quant_meta"":{}}",,{},5,5,5,True,False,False,False,False,True,165,10.3125,True,False,True,True,False,False,efficiency;fidelity;vbench,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,moviegen,runs/1773110004_presentation_moviegen_fullmatrix,/data/suraj/kv-quant-longhorizon/results/runs/1773110004_presentation_moviegen_fullmatrix,presentation_moviegen_fullmatrix,RTN_K2_V4,RTN,,,,a5f3a9f0caab,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""RTN_K2_V4"",""method_family"":""RTN"",""quant_meta"":{}}",,{},5,5,5,True,False,False,False,False,True,165,10.3125,True,False,True,True,False,False,efficiency;fidelity;vbench,,,,,,,,,,
vaishak,/data/vaishak/kv-quant-longhorizon/results,moviegen,runs/spatial_mixed_smoke_1772758158,/data/vaishak/kv-quant-longhorizon/results/runs/spatial_mixed_smoke_1772758158,spatial_mixed_smoke,SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT2,SPATIAL_MIXED,4,,,1f080d8dcc0e,"{""benchmark"":""moviegen"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT2"",""method_family"":""SPATIAL_MIXED"",""quant_meta"":{}}",spatial_mixed_balanced,{},,0,0,True,False,False,False,False,False,,,False,False,False,False,False,False,efficiency;fidelity;vbench;generation_log;videos,,,,,,,,,,
vaishak,/data/vaishak/kv-quant-longhorizon/results,moviegen,runs/tptq_ablation_smoke_1772779198,/data/vaishak/kv-quant-longhorizon/results/runs/tptq_ablation_smoke_1772779198,tptq_ablation_smoke,TPTQ_INT2,TPTQ,2,,,d94a86f7481e,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""TPTQ_INT2"",""method_family"":""TPTQ"",""quant_meta"":{}}",tptq_ablation,{},,0,0,True,False,False,False,False,False,,,False,False,False,False,False,False,efficiency;fidelity;vbench;generation_log;videos,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/debug_storyeval_bf16_gpu,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/debug_storyeval_bf16_gpu,debug_storyeval_bf16_gpu,BF16,BF16,,,,676751ca069e,"{""benchmark"":""storyeval"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",storyeval,{},1,0,0,True,False,False,False,False,False,165,10.3125,True,False,False,False,False,False,summary;vbench;drift;per_prompt;videos,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_BF16_10prompts_10s_1772778462,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_BF16_10prompts_10s_1772778462,storyeval_BF16_10prompts_10s_1772778462,BF16,BF16,,,,676751ca069e,"{""benchmark"":""storyeval"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_BF16_10prompts_10s_1772778517,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_BF16_10prompts_10s_1772778517,storyeval_BF16_10prompts_10s_1772778517,BF16,BF16,,,,676751ca069e,"{""benchmark"":""storyeval"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_KIVI_INT2_10prompts_10s_1772778462,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_KIVI_INT2_10prompts_10s_1772778462,storyeval_KIVI_INT2_10prompts_10s_1772778462,KIVI_INT2,KIVI,2,,,5c6eb3274bbf,"{""benchmark"":""storyeval"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""KIVI_INT2"",""method_family"":""KIVI"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_KIVI_INT4_10prompts_10s_1772778462,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_KIVI_INT4_10prompts_10s_1772778462,storyeval_KIVI_INT4_10prompts_10s_1772778462,KIVI_INT4,KIVI,4,,,6bf0672ff51a,"{""benchmark"":""storyeval"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""KIVI_INT4"",""method_family"":""KIVI"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_KIVI_INT4_10prompts_10s_1772778517,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_KIVI_INT4_10prompts_10s_1772778517,storyeval_KIVI_INT4_10prompts_10s_1772778517,KIVI_INT4,KIVI,4,,,6bf0672ff51a,"{""benchmark"":""storyeval"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""KIVI_INT4"",""method_family"":""KIVI"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_KIVI_K2_V4_presentation_fullmatrix_1773110004,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_KIVI_K2_V4_presentation_fullmatrix_1773110004,storyeval_KIVI_K2_V4_presentation_fullmatrix_1773110004,KIVI_K2_V4,KIVI,,,,74a6796ebe0e,"{""benchmark"":""storyeval"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""KIVI_K2_V4"",""method_family"":""KIVI"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/debug_storyeval_method,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/debug_storyeval_method,debug_storyeval_method,METHOD,METHOD,,,,ed1b4a5bb2b5,"{""benchmark"":""storyeval"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""METHOD"",""method_family"":""METHOD"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_QUAROT_KV_INT2_10prompts_10s_1772778462,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_QUAROT_KV_INT2_10prompts_10s_1772778462,storyeval_QUAROT_KV_INT2_10prompts_10s_1772778462,QUAROT_KV_INT2,QUAROT_KV,2,,,bc025aaf2025,"{""benchmark"":""storyeval"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""QUAROT_KV_INT2"",""method_family"":""QUAROT_KV"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_QUAROT_KV_INT4_10prompts_10s_1772778462,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_QUAROT_KV_INT4_10prompts_10s_1772778462,storyeval_QUAROT_KV_INT4_10prompts_10s_1772778462,QUAROT_KV_INT4,QUAROT_KV,4,,,d75358dcd39b,"{""benchmark"":""storyeval"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""QUAROT_KV_INT4"",""method_family"":""QUAROT_KV"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_QUAROT_KV_INT4_REFRESH_presentation_fullmatrix_1773110004,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_QUAROT_KV_INT4_REFRESH_presentation_fullmatrix_1773110004,storyeval_QUAROT_KV_INT4_REFRESH_presentation_fullmatrix_1773110004,QUAROT_KV_INT4_REFRESH,QUAROT_KV,4,,,54a7c94fdb00,"{""benchmark"":""storyeval"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""QUAROT_KV_INT4_REFRESH"",""method_family"":""QUAROT_KV"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_RTN_INT2_10prompts_10s_1772778462,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_RTN_INT2_10prompts_10s_1772778462,storyeval_RTN_INT2_10prompts_10s_1772778462,RTN_INT2,RTN,2,,,8920bfe5de44,"{""benchmark"":""storyeval"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""RTN_INT2"",""method_family"":""RTN"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_RTN_INT2_10prompts_10s_1772778517,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_RTN_INT2_10prompts_10s_1772778517,storyeval_RTN_INT2_10prompts_10s_1772778517,RTN_INT2,RTN,2,,,8920bfe5de44,"{""benchmark"":""storyeval"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""RTN_INT2"",""method_family"":""RTN"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_RTN_INT4_10prompts_10s_1772778462,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_RTN_INT4_10prompts_10s_1772778462,storyeval_RTN_INT4_10prompts_10s_1772778462,RTN_INT4,RTN,4,,,0340d3dd302f,"{""benchmark"":""storyeval"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""RTN_INT4"",""method_family"":""RTN"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_RTN_INT4_10prompts_10s_1772778517,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_RTN_INT4_10prompts_10s_1772778517,storyeval_RTN_INT4_10prompts_10s_1772778517,RTN_INT4,RTN,4,,,0340d3dd302f,"{""benchmark"":""storyeval"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""RTN_INT4"",""method_family"":""RTN"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,summary;config;vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
suraj,/data/suraj/kv-quant-longhorizon/results,storyeval,storyeval/storyeval_RTN_K2_V4_presentation_fullmatrix_1773110004,/data/suraj/kv-quant-longhorizon/results/benchmarks/storyeval/storyeval_RTN_K2_V4_presentation_fullmatrix_1773110004,storyeval_RTN_K2_V4_presentation_fullmatrix_1773110004,RTN_K2_V4,RTN,,,,ac8ee23d0b41,"{""benchmark"":""storyeval"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""RTN_K2_V4"",""method_family"":""RTN"",""quant_meta"":{}}",storyeval,{},0,0,0,False,False,False,False,False,False,,,False,False,False,False,False,False,vbench;drift;per_prompt;videos;vram_trace,,,,,,,,,,
