method,frame_cap,seconds,imaging_quality
BF16,50,,0.7381451712036133
BF16,100,,0.7384324118804934
BF16,150,,0.7394866299947104
BF16,200,,0.7394145274075595
BF16,250,,0.7394145274075595
BF16,300,,0.7394145274075595
BF16,350,,0.7394145274075595
BF16,400,,0.7394145274075595
BF16,450,,0.7394145274075595
BF16,500,,0.7394145274075595
BF16,550,,0.7394145274075595
BF16,600,,0.7394145274075595
BF16,650,,0.7394145274075595
BF16,700,,0.7394145274075595
KIVI_INT4_REFRESH,50,,0.7224353144836425
KIVI_INT4_REFRESH,100,,0.7172257847976684
KIVI_INT4_REFRESH,150,,0.7129483123779297
KIVI_INT4_REFRESH,200,,0.7115877006761955
KIVI_INT4_REFRESH,250,,0.7115877006761955
KIVI_INT4_REFRESH,300,,0.7115877006761955
KIVI_INT4_REFRESH,350,,0.7115877006761955
KIVI_INT4_REFRESH,400,,0.7115877006761955
KIVI_INT4_REFRESH,450,,0.7115877006761955
KIVI_INT4_REFRESH,500,,0.7115877006761955
KIVI_INT4_REFRESH,550,,0.7115877006761955
KIVI_INT4_REFRESH,600,,0.7115877006761955
KIVI_INT4_REFRESH,650,,0.7115877006761955
KIVI_INT4_REFRESH,700,,0.7115877006761955
QUAROT_KV_INT4_RECENT2,50,,0.738080669631958
QUAROT_KV_INT4_RECENT2,100,,0.7361935904693603
QUAROT_KV_INT4_RECENT2,150,,0.7308411067708334
QUAROT_KV_INT4_RECENT2,200,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,250,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,300,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,350,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,400,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,450,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,500,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,550,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,600,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,650,,0.7289857184901382
QUAROT_KV_INT4_RECENT2,700,,0.7289857184901382
RTN_INT4_RECENT2,50,,0.7376865697479248
RTN_INT4_RECENT2,100,,0.7374477356338501
RTN_INT4_RECENT2,150,,0.7359715673573811
RTN_INT4_RECENT2,200,,0.7351347815773702
RTN_INT4_RECENT2,250,,0.7351347815773702
RTN_INT4_RECENT2,300,,0.7351347815773702
RTN_INT4_RECENT2,350,,0.7351347815773702
RTN_INT4_RECENT2,400,,0.7351347815773702
RTN_INT4_RECENT2,450,,0.7351347815773702
RTN_INT4_RECENT2,500,,0.7351347815773702
RTN_INT4_RECENT2,550,,0.7351347815773702
RTN_INT4_RECENT2,600,,0.7351347815773702
RTN_INT4_RECENT2,650,,0.7351347815773702
RTN_INT4_RECENT2,700,,0.7351347815773702
RTN_INT4_REFRESH,50,,0.7383011347198486
RTN_INT4_REFRESH,100,,0.7384395704650879
RTN_INT4_REFRESH,150,,0.7362876763916014
RTN_INT4_REFRESH,200,,0.735219814300537
RTN_INT4_REFRESH,250,,0.735219814300537
RTN_INT4_REFRESH,300,,0.735219814300537
RTN_INT4_REFRESH,350,,0.735219814300537
RTN_INT4_REFRESH,400,,0.735219814300537
RTN_INT4_REFRESH,450,,0.735219814300537
RTN_INT4_REFRESH,500,,0.735219814300537
RTN_INT4_REFRESH,550,,0.735219814300537
RTN_INT4_REFRESH,600,,0.735219814300537
RTN_INT4_REFRESH,650,,0.735219814300537
RTN_INT4_REFRESH,700,,0.735219814300537
